Informant,Project,Sex,Age,Ethnicity,Education_level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year_interviewed,Notes
NC12A,LAMSAS,Male,77,White,No formal schooling,Farmer,Beaver Dam,Beaufort ,NC,35.47805,-76.0125,"Lowman, Guy",1936,
NC12B,LAMSAS,Female,46,White,At least some college or beyond,Keeping house,Washington,Beaufort ,NC,35.40611,-76.32944,"Lowman, Guy",1936,
NC13A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,Folly Road,Pamlico ,NC,35.53417,-76.97028,"Lowman, Guy",1936,
NC13B,LAMSAS,Female,40,White,At least some high school,Unknown,Merritt,Pamlico ,NC,35.54639,-77.0525,"Lowman, Guy",1936,
NC14N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,Cahoque,Craven ,NC,35.09555,-76.62889,"Lowman, Guy",1936,
NC14A,LAMSAS,Male,70,White,Between 1 and 8 years,Farmer,Cahoque,Craven ,NC,35.09778,-76.71472,"Lowman, Guy",1936,
NC14B,LAMSAS,Female,75,White,At least some college or beyond,Unknown,Vanceboro,Craven ,NC,34.87889,-76.90166,"Lowman, Guy",1937,
NC14C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),New Bern,Craven ,NC,35.25333,-77.07333,"Lowman, Guy",1936,"""Single homemaker"""
NC15A,LAMSAS,Male,74,White,No formal schooling,Farmer,Greenville,Pitt ,NC,35.30833,-77.15444,"Lowman, Guy",1934,
NC15B,LAMSAS,Female,53,White,At least some high school,Keeping house,Winterville,Pitt ,NC,35.10833,-77.04444,"Lowman, Guy",1936,
NC15C,LAMSAS,Male,84,White,No formal schooling,Farmer,Bethel,Pitt ,NC,35.44778,-77.26222,"Lowman, Guy",1936,
NC16A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,Snow Hill,Greene ,NC,35.52889,-77.40139,"Lowman, Guy",1936,
NC16B,LAMSAS,Male,44,White,Between 1 and 8 years,Farmer,Snow Hill,Greene ,NC,35.80695,-77.37917,"Lowman, Guy",1936,
NC17A,LAMSAS,Male,66,White,Between 1 and 8 years,Farmer,Dudley,Wayne ,NC,35.40111,-77.7025,"Lowman, Guy",1936,
NC17B,LAMSAS,Male,48,White,At least some high school,Farmer,Mt. Olive,Wayne ,NC,35.45139,-77.68139,"Lowman, Guy",1936,
NC18A,LAMSAS,Male,71,White,No formal schooling,Farmer,Chinquapin,Duplin ,NC,35.26722,-78.03778,"Lowman, Guy",1936,
NC18B,LAMSAS,Female,61,White,At least some high school,Other (see notes),Friendship,Duplin ,NC,35.19639,-78.06667,"Lowman, Guy",1936,Single woman
NC19A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,Kinston,Jones ,NC,34.83083,-77.81667,"Lowman, Guy",1937,
NC19B,LAMSAS,Male,51,White,At least some college or beyond,Farmer,Trenton,Jones ,NC,35.06333,-78.04056,"Lowman, Guy",1937,
NC20A,LAMSAS,Male,69,White,Between 1 and 8 years,Fisher,Roe,Carteret ,NC,35.06667,-77.59111,"Lowman, Guy",1936,
NC20B,LAMSAS,Male,72,White,Between 1 and 8 years,Fisher,Harkers Island,Carteret ,NC,35.06694,-77.35306,"Lowman, Guy",1936,
NC20C,LAMSAS,Female,42,White,At least some high school,Keeping house,Straits,Carteret ,NC,34.99222,-76.30917,"Lowman, Guy",1934,
NC21A,LAMSAS,Female,71,White,Between 1 and 8 years,Keeping house,Grants Creek,Onslow ,NC,34.695,-76.55972,"Lowman, Guy",1936,
NC21B,LAMSAS,Male,45,White,At least some college or beyond,Farmer,Jacksonville,Onslow ,NC,34.72889,-76.57139,"Lowman, Guy",1936,
NC22A,LAMSAS,Male,68,White,Unknown,Farmer,Canetuck,Pender ,NC,34.90472,-77.23167,"Lowman, Guy",1937,
NC22B,LAMSAS,Female,43,White,At least some high school,Keeping house,Riverside,Pender ,NC,34.75389,-77.43056,"Lowman, Guy",1936,
NC23A,LAMSAS,Male,75,White,Unknown,Farmer,Whiskey Creek,New Hanover ,NC,34.4625,-78.10139,"Lowman, Guy",1934,
NC23B,LAMSAS,Female,46,White,At least some high school,Keeping house,Whiskey Creek,New Hanover ,NC,34.55194,-77.92639,"Lowman, Guy",1937,
NC23C!,LAMSAS,Female,48,White,At least some college or beyond,Unknown,Wilmington,Wilmington,NC,34.22556,-77.945,"Lowman, Guy",1937,
NC23D!,LAMSAS,Female,55,White,Unknown,Unknown,Wilmington,Wilmington,NC,34.13445,-77.88194,"Lowman, Guy",1937,
NC24N,LAMSAS,Male,89,Black or African American,Unknown,Farmer,Calabash,Brunswick ,NC,34.24028,-77.91666,"Lowman, Guy",1937,
NC24A,LAMSAS,Female,70,White,Between 1 and 8 years,Keeping house,Calabash,Brunswick ,NC,34.17222,-77.89445,"Lowman, Guy",1937,
NC24B,LAMSAS,Male,45,White,At least some high school,Farmer,Royal Oak,Brunswick ,NC,33.89056,-78.56861,"Lowman, Guy",1937,
NC25N,LAMSAS,Female,60,Black or African American,At least some high school,Farmer,Turkey,Sampson ,NC,34.10695,-78.5375,"Lowman, Guy",1937,
NC25A,LAMSAS,Male,73,White,Unknown,Farmer,Clinton,Sampson ,NC,34.0175,-78.26778,"Lowman, Guy",1937,
NC25B,LAMSAS,Male,68,White,At least some high school,Farmer,Clinton,Sampson ,NC,34.99222,-78.18333,"Lowman, Guy",1934,
NC26A,LAMSAS,Female,70,White,Between 1 and 8 years,Keeping house,Cedar Creek,Cumberland ,NC,34.99778,-78.32361,"Lowman, Guy",1937,
NC26B,LAMSAS,Female,57,White,Unknown,Keeping house,Hope Mills,Cumberland ,NC,34.99861,-78.19028,"Lowman, Guy",1934,
NC26C!,LAMSAS,Female,37,White,At least some high school,Keeping house,Fayetteville,Cumberland ,NC,34.95583,-78.7575,"Lowman, Guy",1937,
NC27A,LAMSAS,Male,70,White,Unknown,Farmer,Bladenboro,Bladen ,NC,34.97028,-78.94556,"Lowman, Guy",1937,
NC27B,LAMSAS,Female,47,White,At least some high school,Keeping house,Elizabethtown,Bladen ,NC,35.0525,-78.87861,"Lowman, Guy",1937,
NC28A,LAMSAS,Male,73,White,Between 1 and 8 years,Farmer,Crusoes Island,Columbus ,NC,34.53861,-78.78778,"Lowman, Guy",1937,
NC28B,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,Boardman,Columbus ,NC,34.62917,-78.60555,"Lowman, Guy",1937,
NC28C,LAMSAS,Female,40,White,At least some high school,Other (see notes),Whiteville,Columbus ,NC,34.16778,-78.5975,"Lowman, Guy",1937,Single woman
NC29A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,Pembroke,Robeson ,NC,34.43889,-78.94945,"Lowman, Guy",1937,
NC29B,LAMSAS,Female,43,White,At least some high school,Keeping house,Lumberton,Robeson ,NC,34.33861,-78.70333,"Lowman, Guy",1937,
NC30A,LAMSAS,Male,89,White,Unknown,Farmer,Conway,Northampton ,NC,34.68,-79.19527,"Lowman, Guy",1934,
NC30B,LAMSAS,Female,65,White,At least some high school,Unknown,Lasker,Northampton ,NC,34.61806,-79.00889,"Lowman, Guy",1937,
NC31A,LAMSAS,Male,68,White,Unknown,Farmer,Hollister,Halifax ,NC,36.43694,-77.22916,"Lowman, Guy",1936,
NC31B,LAMSAS,Female,59,White,At least some high school,Unknown,Darlington,Halifax ,NC,36.35,-77.30583,"Lowman, Guy",1936,
NC32A,LAMSAS,Male,73,White,No formal schooling,Farmer,Rocky Mount,Edgecombe ,NC,36.25583,-77.93611,"Lowman, Guy",1936,
NC32B!,LAMSAS,Female,59,White,At least some college or beyond,Other (see notes),Tarboro,Edgecombe ,NC,36.31861,-77.71833,"Lowman, Guy",1936,Widow
NC33A,LAMSAS,Female,68,White,Between 1 and 8 years,Unknown,Black Creek,Wilson ,NC,35.93806,-77.81667,"Lowman, Guy",1934,
NC33B,LAMSAS,Female,40,White,Between 1 and 8 years,Keeping house,Evansdale,Wilson ,NC,35.89667,-77.53611,"Lowman, Guy",1936,
NC34A,LAMSAS,Female,70,White,No formal schooling,Laborer,Sanders Chapel,Johnston ,NC,35.635,-77.93333,"Lowman, Guy",1936,
NC34B,LAMSAS,Female,61,White,At least some high school,Keeping house,Smithfield,Johnston ,NC,35.655,-77.87,"Lowman, Guy",1936,
NC35A,LAMSAS,Female,80,White,At least some high school,Keeping house,Manchester,Harnett ,NC,35.50834,-78.33972,"Lowman, Guy",1936,
NC35B,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,Erwin,Harnett ,NC,35.5,-78.3625,"Lowman, Guy",1936,
NC36N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,Nashville,Harnett ,NC,35.28333,-78.91722,"Lowman, Guy",1934,
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,Nashville,Scotland ,NC,35.32667,-78.67639,"Lowman, Guy",1937,
NC36B,LAMSAS,Male,43,White,At least some high school,Farmer,Nashville,Scotland ,NC,34.88778,-79.36639,"Lowman, Guy",1937,
NC37A,LAMSAS,Female,65,White,No formal schooling,Keeping house,Wise,Warren ,NC,34.80889,-79.54806,"Lowman, Guy",1937,
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,Marmaduke,Warren ,NC,34.75889,-79.61083,"Lowman, Guy",1937,
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,Moulton,Franklin ,NC,36.48639,-78.17111,"Lowman, Guy",1936,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,Bunn,Franklin ,NC,36.34722,-78.06944,"Lowman, Guy",1936,
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,Bunn,Franklin ,NC,36.17139,-78.2525,"Lowman, Guy",1937,
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,Oxford,Granville ,NC,35.96083,-78.25389,"Lowman, Guy",1937,
NC39B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,Oxford,Granville ,NC,35.95,-78.24583,"Lowman, Guy",1936,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,Cary,Wake ,NC,36.31055,-78.59111,"Lowman, Guy",1936,
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,Leesville,Wake ,NC,36.44806,-78.57056,"Lowman, Guy",1936,
NC41!,LAMSAS,Female,54,White,At least some college or beyond,Clerical or sales position,Raleigh,Raleigh,NC,35.79139,-78.78139,"Lowman, Guy",1934,
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,Siler City,Chatham ,NC,35.90694,-78.72639,"Lowman, Guy",1937,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,Harpers Crossroads,Chatham ,NC,35.77195,-78.63889,"Lowman, Guy",1937,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,Hurdle Mills,Orange ,NC,35.72333,-79.4625,"Lowman, Guy",1937,
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,Hillsborough,Orange ,NC,35.56778,-79.46333,"Lowman, Guy",1937,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,Yanceyville,Caswell ,NC,36.1675,-79.16805,"Lowman, Guy",1937,
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,Reidsville,Rockingham ,NC,35.97583,-79.19417,"Lowman, Guy",1937,
NC45B,LAMSAS,Male,75,White,No formal schooling,Unknown,Wentworth,Rockingham ,NC,36.40389,-79.33639,"Lowman, Guy",1937,
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,Guilford,Guilford ,NC,36.35472,-79.66472,"Lowman, Guy",1937,
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,Guilford,Guilford ,NC,36.4,-79.77472,"Lowman, Guy",1937,
NC46C!,LAMSAS,Female,48,White,At least some college or beyond,"Manager, official, or proprietor",Greensboro,Guilford ,NC,36.08972,-79.88889,"Lowman, Guy",1937,
NC47,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,Sophia,Randolph ,NC,36.08333,-79.895,"Lowman, Guy",1937,
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,Thomasville,Davidson ,NC,36.0725,-79.79222,"Lowman, Guy",1937,
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,Gold Hill,Rowan ,NC,35.82306,-79.86111,"Lowman, Guy",1934,
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,Salisbury,Rowan ,NC,35.8825,-80.08222,"Lowman, Guy",1937,
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,Salisbury,Rowan ,NC,35.52111,-80.33833,"Lowman, Guy",1937,
NC51A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,Steeds,Montgomery ,NC,35.68333,-80.4875,"Lowman, Guy",1937,
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,Candor,Montgomery ,NC,35.67083,-80.47444,"Lowman, Guy",1937,
NC52N,LAMSAS,Female,90,Black or African American,No formal schooling,Keeping house,Wadesboro,Anson ,NC,35.47083,-79.77778,"Lowman, Guy",1937,
NC52A,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,Pee Dee,Anson ,NC,35.21528,-79.73111,"Lowman, Guy",1937,
NC52B,LAMSAS,Male,48,White,At least some high school,Farmer,Morven,Anson ,NC,34.96806,-80.07694,"Lowman, Guy",1937,
NC53A,LAMSAS,Male,82,White,Unknown,Farmer,Marshville,Union ,NC,34.935,-79.88972,"Lowman, Guy",1937,
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,Monroe,Union ,NC,34.86389,-80.00139,"Lowman, Guy",1937,
NC54A,LAMSAS,Male,79,White,At least some high school,Farmer,Concord,Cabarrus ,NC,34.98833,-80.36723,"Lowman, Guy",1937,
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,Concord,Cabarrus ,NC,34.98417,-80.44945,"Lowman, Guy",1937,
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,Matthews,Mecklenburg ,NC,35.40861,-80.57972,"Lowman, Guy",1934,
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,Huntersville,Mecklenburg ,NC,35.44167,-80.595,"Lowman, Guy",1937,
NC56B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,Charlotte ,Charlotte,NC,35.17944,-80.6475,"Lowman, Guy",1937,
NC57A,LAMSAS,Male,81,White,Between 1 and 8 years,"Manager, official, or proprietor",Danbury,Stokes ,NC,35.46695,-80.81445,"Lowman, Guy",1937,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,Danbury,Stokes ,NC,35.22694,-80.84333,"Lowman, Guy",1937,
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,Mt. Airy,Surry ,NC,36.40917,-80.20611,"Lowman, Guy",1937,
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,Mt. Airy,Surry ,NC,36.41111,-80.21944,"Lowman, Guy",1937,
NC59,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,Boonville,Yadkin ,NC,36.49917,-80.6075,"Lowman, Guy",1936,
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,Tobaccoville,Forsyth ,NC,36.48222,-80.83806,"Lowman, Guy",1936,
NC61A,LAMSAS,Male,74,White,No formal schooling,Farmer,New Hope,Iredell ,NC,36.2325,-80.70834,"Lowman, Guy",1934,
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,Statesville,Iredell ,NC,36.23806,-80.37167,"Lowman, Guy",1937,
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,Gelndale Springs,Ashe ,NC,36.01472,-80.95667,"Lowman, Guy",1937,
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,West Jefferson,Ashe ,NC,35.7825,-80.8875,"Lowman, Guy",1937,
NC63A,LAMSAS,Female,74,White,Between 1 and 8 years,Other (see notes),Stony Fork,Wilkes ,NC,36.40361,-81.49306,"Lowman, Guy",1936,Widow
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,Wilkesboro,Wilkes ,NC,36.44889,-81.38889,"Lowman, Guy",1936,
NC64A,LAMSAS,Male,86,White,No formal schooling,Farmer,Vale,Catawba ,NC,36.23528,-81.61916,"Lowman, Guy",1936,
NC64B,LAMSAS,Male,39,White,Between 1 and 8 years,Farmer,Newton,Catawba ,NC,36.14583,-81.16084,"Lowman, Guy",1936,
NC65A,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,Colletsville,Caldwell ,NC,35.58611,-81.40916,"Lowman, Guy",1937,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,Kings Creek,Caldwell ,NC,35.73306,-81.34139,"Lowman, Guy",1937,
NC66A,LAMSAS,Male,75,White,No formal schooling,Farmer,Lawndale,Cleveland ,NC,35.92556,-81.67472,"Lowman, Guy",1937,
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,Boiling Springs,Cleveland ,NC,35.99222,-81.40195,"Lowman, Guy",1934,
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,Buladean,Mitchell ,NC,35.41389,-81.56333,"Lowman, Guy",1937,
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,Bakersville,Mitchell ,NC,35.25417,-81.66722,"Lowman, Guy",1937,
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,Glenwood,McDowell ,NC,36.10833,-82.195,"Lowman, Guy",1936,
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,Marion,McDowell ,NC,36.01556,-82.15889,"Lowman, Guy",1934,
NC69A,LAMSAS,Male,77,White,No formal schooling,Farmer,Milk Spring,Polk ,NC,35.61444,-81.98222,"Lowman, Guy",1937,
NC69B,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,Saluda,Polk ,NC,35.66472,-82.0975,"Lowman, Guy",1937,
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),Marshall,Madison ,NC,35.2975,-82.16139,"Lowman, Guy",1937,Widow
NC70B,LAMSAS,Male,16,White,At least some high school,Student,Walnut,Madison ,NC,35.23611,-82.34944,"Lowman, Guy",1934,
NC71A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,Dillingham,Buncombe ,NC,35.79722,-82.68417,"Lowman, Guy",1936,
NC71B,LAMSAS,Male,54,White,At least some college or beyond,Farmer,Candler,Buncombe ,NC,35.84945,-82.73889,"Lowman, Guy",1936,
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,Asheville,Asheville,NC,35.75361,-82.40694,"Lowman, Guy",1937,
NC72A,LAMSAS,Male,74,White,No formal schooling,Farmer,Pigsah Forest,Transylvania ,NC,35.53639,-82.69305,"Lowman, Guy",1936,
NC72B,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,Pigsah Forest,Transylvania ,NC,35.60083,-82.55417,"Lowman, Guy",1936,
NC73A,LAMSAS,Female,86,White,Unknown,Unknown,Dorsey,Swain ,NC,35.25417,-82.70028,"Lowman, Guy",1937,
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,Bryson City,Swain ,NC,35.23333,-82.73444,"Lowman, Guy",1936,
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,Satolah,Macon ,NC,35.47333,-83.72639,"Lowman, Guy",1936,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,Cartoogechaye,Macon ,NC,35.43083,-83.4475,"Lowman, Guy",1934,
NC75A,LAMSAS,Male,83,White,No formal schooling,Farmer,Grandview,Cherokee ,NC,35.0525,-83.19695,"Lowman, Guy",1936,
NC75B,LAMSAS,Female,52,White,At least some high school,Keeping house,Murphy,Cherokee ,NC,35.18222,-83.38167,"Lowman, Guy",1937,
SC1A,LAMSAS,Female,81,White,Between 1 and 8 years,Keeping house,Burgess,Horry ,SC,35.1675,-84.04528,"Lowman, Guy",1936,
SC1B,LAMSAS,Female,56,White,At least some college or beyond,Keeping house,Spring Branch,Horry ,SC,35.09389,-83.94278,"Lowman, Guy",1936,
SC2A,LAMSAS,Female,70,White,No formal schooling,Keeping house,Centenary,Marion ,SC,33.60639,-79.05583,"Lowman, Guy",1937,
SC2B,LAMSAS,Female,48,White,At least some high school,Keeping house,Pinderboro,Marion ,SC,34.24194,-79.39306,"Lowman, Guy",1937,
SC2C,LAMSAS,Female,70,White,Unknown,Keeping house,Pinderboro,Marion ,SC,34.03083,-79.35583,"Lowman, Guy",1937,
SC3A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,Olanta,Florence ,SC,34.17805,-79.40083,"Lowman, Guy",1937,
SC3B,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,Timmonsville,Florence ,SC,34.02639,-79.36111,"Lowman, Guy",1937,
SC3C!,LAMSAS,Female,67,White,At least some college or beyond,Other (see notes),Florence,Florence ,SC,33.93528,-79.93278,"Lowman, Guy",1934,"""F (two sisters) widows, one had assisted husband in horse-trading, the other taught school for a short time"""
SC4A,LAMSAS,Male,55,White,Between 1 and 8 years,Fisher,Manning,Clarendon ,SC,34.04028,-79.94417,"McDavid, Raven",1947,
SC4B,LAMSAS,Female,81,White,At least some high school,Keeping house,Manning,Clarendon ,SC,34.19528,-79.76278,"McDavid, Raven",1947,  
SC4C,LAMSAS,Male,55,White,At least some high school,Public Servant,Manning,Clarendon ,SC,33.695,-80.21111,"McDavid, Raven",1946,
SC5A,LAMSAS,Male,79,White,Between 1 and 8 years,Farmer,Andrews,Williamsburg ,SC,33.70694,-80.20834,"McDavid, Raven",1946,
SC5B,LAMSAS,Male,80,White,Between 1 and 8 years,Craftsman or foreman,Kingstree,Williamsburg ,SC,33.68889,-80.22083,"McDavid, Raven",1946,
SC5C,LAMSAS,Male,61,White,Between 1 and 8 years,Clerical or sales position,Kingstree,Williamsburg ,SC,33.45111,-79.56111,"McDavid, Raven",1948,  
SC5D!,LAMSAS,Female,71,White,At least some high school,"Manager, official, or proprietor",Kingstree,Williamsburg ,SC,33.6675,-79.83083,"McDavid, Raven",1946,
SC6N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Craftsman or foreman,Georgetown,Georgetown ,SC,33.70833,-79.8175,"McDavid, Raven",1946,
SC6A,LAMSAS,Male,60,White,Between 1 and 8 years,Farmer,Hemingway,Georgetown ,SC,33.69167,-79.84167,"McDavid, Raven",1946,  
SC6B,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,Plantersville,Georgetown ,SC,33.36111,-79.27917,"McDavid, Raven",1946,
SC6C!,LAMSAS,Female,68,White,At least some college or beyond,Keeping house,Waccamaw Neck,Georgetown ,SC,33.61778,-79.33083,"Lowman, Guy",1934,
SC6D,LAMSAS,Male,49,White,Between 1 and 8 years,Seeking work,Georgetown,Georgetown ,SC,33.55528,-79.21555,"McDavid, Raven",1948,
SC7N,LAMSAS,Male,83,Black or African American,Between 1 and 8 years,Public Servant,Georgetown,Georgetown ,SC,33.43306,-79.12167,"McDavid, Raven",1948,  
SC7A,LAMSAS,Male,75,White,Between 1 and 8 years,Clerical or sales position,Georgetown,Georgetown ,SC,33.37667,-79.29472,"McDavid, Raven",1948,
SC7B,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,Georgetown,Georgetown ,SC,33.36666,-79.29723,"McDavid, Raven",1946,
SC7C!,LAMSAS,Male,78,White,At least some college or beyond,Professional or technical job,Georgetown,Georgetown ,SC,33.38334,-79.30695,"McDavid, Raven",1946,
SC7D!,LAMSAS,Female,50,White,At least some college or beyond,Public Servant,Georgetown,Georgetown ,SC,33.3875,-79.3,"McDavid, Raven",1946,  
SC8A,LAMSAS,Female,74,White,Between 1 and 8 years,Keeping house,Bonneau,Berkeley ,SC,33.39167,-79.28889,"McDavid, Raven",1946,
SC8B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,Huger,Berkeley ,SC,33.37222,-79.28056,"McDavid, Raven",1946,  
SC8C,LAMSAS,Male,67,White,Between 1 and 8 years,Farmer,Huger,Berkeley ,SC,33.30528,-79.95805,"McDavid, Raven",1947,
SC9A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,Summerville,Berkeley ,SC,33.09639,-79.80361,"McDavid, Raven",1947,
SC9B,LAMSAS,Male,65,White,Between 1 and 8 years,Clerical or sales position,Cross,Berkeley ,SC,33.40417,-79.92194,"McDavid, Raven",1947,
SC9C!,LAMSAS,Male,50,White,At least some college or beyond,Professional or technical job,Moncks Corner,Berkeley ,SC,33.01833,-80.17583,"McDavid, Raven",1947,
SC9D!,LAMSAS,Male,73,White,At least some college or beyond,Unknown,Moncks Corner,Berkeley ,SC,33.32722,-80.14861,"McDavid, Raven",1947,
SC10A,LAMSAS,Female,53,White,Between 1 and 8 years,Keeping house,Awendaw,Charleston ,SC,33.19584,-80.01334,"McDavid, Raven",1947,
SC10B!,LAMSAS,Male,85,White,At least some college or beyond,Professional or technical job,McClellanville,Charleston ,SC,33.24445,-79.99167,"McDavid, Raven",1947,
SC10C!,LAMSAS,Female,64,White,At least some high school,Keeping house,Mt. Pleasant,Charleston ,SC,33.0375,-79.61333,"McDavid, Raven",1946,
SC11N,LAMSAS,Male,58,Black or African American,Between 1 and 8 years,Craftsman or foreman,Charleston,Charleston ,SC,33.08805,-79.46139,"McDavid, Raven",1948,
SC11M!,LAMSAS,Male,44,Black or African American,At least some college or beyond,Public Servant,Jasper Court,Charleston ,SC,32.79389,-79.86278,"McDavid, Raven",1948,
SC11A,LAMSAS,Male,86,White,Between 1 and 8 years,"Manager, official, or proprietor",Charleston,Charleston ,SC,32.77639,-79.93111,"Lowman, Guy",1934,
SC11B,LAMSAS,Male,57,White,Between 1 and 8 years,"Manager, official, or proprietor",Charleston,Charleston ,SC,32.7875,-79.99306,"McDavid, Raven",1946,
SC11C,LAMSAS,Female,58,White,Between 1 and 8 years,Keeping house,Charleston,Charleston ,SC,32.78056,-79.99306,"McDavid, Raven",1946,  
SC11D,LAMSAS,Male,83,White,Between 1 and 8 years,Clerical or sales position,Charleston,Charleston ,SC,32.85695,-80,"Pederson, Lee",1965,
SC11E,LAMSAS,Male,76,White,At least some high school,Public Servant,Charleston,Charleston ,SC,32.80416,-79.93889,"McDavid, Raven",1946,
SC11F,LAMSAS,Female,48,White,At least some high school,Keeping house,Charleston,Charleston ,SC,32.85417,-79.97083,"McDavid, Raven",1946,
SC11G!,LAMSAS,Male,24,White,At least some college or beyond,Professional or technical job,Charleston,Charleston ,SC,32.80972,-79.99028,"McDavid, Raven",1946,
SC11H!,LAMSAS,Male,52,White,At least some college or beyond,Public Servant,Charleston,Charleston ,SC,32.83333,-79.95695,"McDavid, Raven",1946,
SC11I!,LAMSAS,Female,51,White,At least some high school,Unknown,Charleston,Charleston ,SC,32.81111,-79.95277,"McDavid, Raven",1946,
SC11J!,LAMSAS,Female,69,White,At least some high school,Professional or technical job,Charleston,Charleston ,SC,32.77361,-79.94167,"McDavid, Raven",1946,
SC12A,LAMSAS,Male,80,White,Between 1 and 8 years,Farmer,Harleyville,Dorchester ,SC,32.76667,-79.93056,"Lowman, Guy",1934,  
SC12B,LAMSAS,Female,70,White,At least some high school,Keeping house,St. George,Dorchester ,SC,32.76944,-79.92778,"McDavid, Raven",1946,
SC13,LAMSAS,Male,52,White,At least some college or beyond,Farmer,Edisto Island,Charleston ,SC,33.21444,-80.44806,"McDavid, Raven",1947,
SC14A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,Hendersonville,Colleton ,SC,33.18583,-80.57584,"Lowman, Guy",1934,
SC14B,LAMSAS,Male,51,White,At least some college or beyond,Clerical or sales position,Waterboro,Colleton ,SC,32.56,-80.28,"McDavid, Raven",1948,
